Marketing Name,Product Code,Code,Product Type,Color Description,First Offer Date,Primary,Secondary,Accent,Match to Garment,Light Tonal,Dark Tonal,Neutral,Green,Match to Swoosh,Notes,Secondary Palette Title,Primary2,Secondary2,Accent2,Match to Garment2,Light Tonal2,Dark Tonal2,Neutral2,Green2,Match to Swoosh2,@Front Image,@Back Image
NIKE PRECISION TEXTURE 1 POLO,831273-010,10,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1011M,SOLID COLOR FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-010-LASBH001.PNG
NIKE PRECISION TEXTURE 1 POLO,831273-100,100,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,2296R,1011M,1118M,2297R,1086M,1118M,1060M,1079M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-100-LASBH001.PNG
NIKE PRECISION TEXTURE 1 POLO,831273-432,432,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",VIVID SKY/(METALLIC SILVER),5/1/17,2296R,1011M,2297R,1289M,1092M,1096M,1138M,1079M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-432-LASBH001.PNG
NIKE PRECISION TEXTURE 1 POLO,831273-512,512,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/(METALLIC SILVER),3/1/17,1011M,2296R,2297R,2385R,1266M,1197S,1128M,2323R,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-512-LASBH001.PNG
NIKE PRECISION TEXTURE 1 POLO,831273-607,607,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",SPORT FUCHSIA/(M SILV),5/1/17,1011M,2296R,2297R,1183M,2500R,2376R,1084M,1250M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-607-LASBH001.PNG
NIKE PRECISION TEXTURE 1 POLO,831273-676,676,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",LAVA GLOW/(METALLIC SILVER),1/1/17,2296R,1011M,1184M,1107M,1016M,1184M,1084M,1079M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-676-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831273-676-LASBH001.PNG
NIKE PRECISION PRINT POLO,831275-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/WHITE/(METALLIC SILVER),1/1/17,2297R,1241M,1220S,2296R,1219S,1241M,1062M,1250M,1011M,WHITE STRIPES; LOGO AT CHEST WILL BE ABOVE THE STRIPES,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-010-LASBH001.PNG
NIKE PRECISION PRINT POLO,831275-100,100,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/BLACK/(METALLIC SILVER),1/1/17,2296R,1011M,1118M,2297R,1086M,1118M,1060M,1079M,1011M,BLACK STRIPES; LOGO AT CHEST WILL BE ABOVE THE STRIPES,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-100-LASBH001.PNG
NIKE PRECISION PRINT POLO,831275-512,512,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/BLACK/(M SILV),3/1/17,1011M,2296R,1266M,2385R,1266M,1197S,1128M,2323R,1011M,WHITE STRIPES; LOGO AT CHEST WILL BE ABOVE THE STRIPES,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-512-LASBH001.PNG
NIKE PRECISION PRINT POLO,831275-852,852,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",MAX ORANGE/BLACK/(M SILV),1/1/17,2296R,1011M,1077M,2420R,1077M,1039M,1128M,1079M,1011M,BLACK STRIPES; LOGO AT CHEST WILL BE ABOVE THE STRIPES,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831275-852-LASBH001.PNG
NIKE PRECISION TEXTURE 1 S/L,831277-010,10,"T156 LC,RC, LRH, BY, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1011M,SOLID COLOR FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-010-LASBH001.PNG
NIKE PRECISION TEXTURE 1 S/L,831277-100,100,"T156 LC,RC, LRH, BY, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,2296R,1011M,1118M,2297R,1086M,1118M,1060M,1079M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-100-LASBH001.PNG
NIKE PRECISION TEXTURE 1 S/L,831277-512,512,"T156 LC,RC, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/(METALLIC SILVER),3/1/17,1011M,2296R,2297R,2385R,1266M,1197S,1128M,2323R,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-512-LASBH001.PNG
NIKE PRECISION TEXTURE 1 S/L,831277-607,607,"T156 LC,RC, LRH, BY, BRS, LCL, RCL",SPORT FUCHSIA/(M SILV),5/1/17,1011M,2296R,2297R,1183M,2500R,2376R,1084M,1250M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-607-LASBH001.PNG
NIKE PRECISION TEXTURE 1 S/L,831277-676,676,"T156 LC,RC, LRH, BY, BRS, LCL, RCL",LAVA GLOW/(METALLIC SILVER),1/1/17,2296R,1011M,1184M,1107M,1016M,1184M,1084M,1079M,1011M,SMALL BLACK DOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-676-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831277-676-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-010,10,"B37 BRL, BRP, BLP, ABLP",BLACK/WHITE/(METALLIC SILVER),1/1/17,2297R,1011M,1220S,2296R,1219S,1220S,1062M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-010-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-012,12,"B37 BRL, BRP, BLP, ABLP",WOLF GREY/WHITE/(M SILV),1/1/17,2297R,2296R,1011M,1212M,1151M,1041M,2571R,1279M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-012-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-387,387,"B37 BRL, BRP, BLP, ABLP",PALM GREEN/BLACK/(M SILV),1/1/17,2296R,1011M,1099M,0552C,1099M,2601R,1128M,1048M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-387-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-432,432,"B37 BRL, BRP, BLP, ABLP",VIVID SKY/WHITE/(M SILV),5/1/17,2297R,1011M,1096M,1289M,1092M,1096M,1138M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-432-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-512,512,"B37 BRL, BRP, BLP, ABLP",DEEP NIGHT/BLACK/(M SILV),3/1/17,1011M,2296R,1266M,2439R,1266M,1044M,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-512-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-607,607,"B37 BRL, BRP, BLP, ABLP",SPORT FUCHSIA/WHITE/(M SILV),5/1/17,2297R,1011M,2500R,1183M,2500R,2376R,1084M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-607-LASBH001.PNG
NIKE FRINGE FLIP SKORT SOLID,831307-852,852,"B37 BRL, BRP, BLP, ABLP",MAX ORANGE/BLACK/(M SILV),1/1/17,2296R,1011M,1077M,2420R,1077M,1039M,1128M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831307-852-LASBH001.PNG
"NIKE GOLF 9"" BERMUDA SHORT 2.0",831319-010,10,"B37 BRL, BRP, BLP, ABLP",BLACK/(BLACK),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-010-LASBH001.PNG
"NIKE GOLF 9"" BERMUDA SHORT 2.0",831319-100,100,"B37 BRL, BRP, BLP, ABLP",WHITE/(WHITE),1/1/17,2296R,1118M,1086M,2297R,1086M,1118M,1060M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-100-LASBH001.PNG
"NIKE GOLF 9"" BERMUDA SHORT 2.0",831319-512,512,"B37 BRL, BRP, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-512-LASBH001.PNG
"NIKE GOLF 9"" BERMUDA SHORT 2.0",831319-852,852,"B37 BRL, BRP, BLP, ABLP",MAX ORANGE/(MAX ORANGE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2420R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831319-852-LASBH001.PNG
GIRL'S NIKE GREENS TOP,831321-010,10,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,1011M,1220S,1219S,2296R,1219S,1220S,1062M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-010-LASBH001.PNG
GIRL'S NIKE GREENS TOP,831321-100,100,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,1011M,2296R,1118M,2297R,1086M,1118M,1060M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-100-LASBH001.PNG
GIRL'S NIKE GREENS TOP,831321-452,452,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",PARAMOUNT BLUE/(M SILV),1/1/17,1011M,2296R,2297R,2385R,1266M,1197S,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-452-LASBH001.PNG
GIRL'S NIKE GREENS TOP,831321-617,617,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",RACER PINK/(METALLIC SILVER),1/1/17,1011M,2296R,2297R,1907M,2246R,2432R,1084M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831321-617-LASBH001.PNG
GIRLS NIKE SHORT,831420-010,10,"B37 BRL, BRP, BLP, ABLP",BLACK/(METALLIC SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-010-LASBH001.PNG
GIRLS NIKE SHORT,831420-452,452,"B37 BRL, BRP, BLP, ABLP",PARAMOUNT BLUE/(M SILV),1/1/17,2297R,2296R,1011M,2385R,1266M,1197S,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-452-LASBH001.PNG
GIRLS NIKE SHORT,831420-617,617,"B37 BRL, BRP, BLP, ABLP",RACER PINK/(METALLIC SILVER),1/1/17,2297R,2296R,1011M,1907M,2246R,2432R,1084M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831420-617-LASBH001.PNG
GIRLS PRINTED SKORT,831421-010,10,"B37 BRL, BRP, BLP, ABLP",BLACK/WHITE/(METALLIC SILVER),1/1/17,1011M,2296R,1220S,2297R,1086M,1118M,1060M,1250M,1011M,BLACK & WHITE PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-010-LASBH001.PNG
GIRLS PRINTED SKORT,831421-452,452,"B37 BRL, BRP, BLP, ABLP",PARAMOUNT BLUE/UNVBLU/(M SILV),1/1/17,1011M,2296R,1266M,1373M,1092M,1266M,1060M,1250M,1011M,1373M & 1266M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-452-LASBH001.PNG
GIRLS PRINTED SKORT,831421-665,665,"B37 BRL, BRP, BLP, ABLP",TRUE BERRY/SPRTFS/(M SILV),1/1/17,1011M,2297R,1388M,2590R,2260R,1388M,1060M,1250M,1011M,2590R & 1388M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-665-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831421-665-LASBH001.PNG
NK ZNL CL DRI FIT KNIT DRESS,831422-010,10,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",BLACK/DARK GREY/(FLT SILVER),5/1/17,2297R,2585R,1220S,2296R,1219S,1220S,1062M,1250M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-010-LASBH001.PNG
NK ZNL CL DRI FIT KNIT DRESS,831422-512,512,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",DEEP NIGHT/MEDBLU/(FLT SILVER),5/1/17,2297R,2296R,2585R,2385R,1266M,1197S,1128M,2323R,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-512-LASBH001.PNG
NK ZNL CL DRI FIT KNIT DRESS,831422-607,607,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",SPORT FUCHSIA/TRUBER/(FLSLVR),5/1/17,2297R,2296R,2585R,1183M,2500R,2376R,1084M,1250M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831422-607-LASBH001.PNG
NIKE GOLF BUNKER CREW 3.0,831424-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,2585R,2296R,2297R,0943C,1166S,2296R,1062M,1250M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-010-LASBH001.PNG
NIKE GOLF BUNKER CREW 3.0,831424-100,100,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,2585R,2296R,1086M,2297R,1086M,1118M,1060M,1079M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-100-LASBH001.PNG
NIKE GOLF BUNKER CREW 3.0,831424-387,387,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",PALM GREEN/(METALLIC SILVER),1/1/17,2585R,2296R,1099M,0552C,1099M,2601R,1128M,1048M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-387-LASBH001.PNG
NIKE GOLF BUNKER CREW 3.0,831424-512,512,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/(METALLIC SILVER),3/1/17,2585R,2296R,1266M,1197S,1266M,1044M,1128M,2323R,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831424-512-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-010,10,"T231 LLH, LRH, BY, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-010-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-063,63,"T231 LLH, LRH, BY, BRS, LCL, RCL",DK GREY HEATHER/(M SILV),1/1/17,2297R,2296R,1011M,1219S,1012M,1166S,2571R,1279M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-063-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-063-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-100,100,"T231 LLH, LRH, BY, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,2296R,1011M,1118M,2297R,1086M,1118M,1060M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-100-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-432,432,"T231 LLH, LRH, BY, BRS, LCL, RCL",VIVID SKY/(METALLIC SILVER),5/1/17,2297R,2296R,1011M,1289M,1092M,1096M,1138M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-432-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-512,512,"T231 LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/(METALLIC SILVER),3/1/17,2297R,2296R,1011M,2385R,1266M,1197S,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-512-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-607,607,"T231 LLH, LRH, BY, BRS, LCL, RCL",SPORT FUCHSIA/(M SILV),5/1/17,2297R,2296R,1011M,1183M,2500R,2376R,1084M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-607-LASBH001.PNG
NIKE GOLF WOMENS RACERBACK,831428-852,852,"T231 LLH, LRH, BY, BRS, LCL, RCL",MAX ORANGE/(METALLIC SILVER),1/1/17,2297R,2296R,1011M,2420R,1077M,1039M,1128M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831428-852-LASBH001.PNG
NIKE GOLF HEADBAND,831430-010,10,"V2 FV1, VRP",BLACK/BLACK/BLACK/(WOLF GREY),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1212M,"FRONT CENTER & RIGHT PANEL MAX 1.5""X1.5""; SWOOSH ON TAB AT LEFT PANEL EDGE",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-010-LASBH001.PNG
NIKE GOLF HEADBAND,831430-452,452,"V2 FV1, VRP",PMTBLU/BLACK/BLACK/(WLFGRY),3/1/17,2296R,2297R,1212M,2385R,1266M,1197S,1128M,2323R,1212M,"FRONT CENTER & RIGHT PANEL MAX 1.5""X1.5""; SWOOSH ON TAB AT LEFT PANEL EDGE",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-452-LASBH001.PNG
NIKE GOLF HEADBAND,831430-676,676,"V2 FV1, VRP",LAVA GLOW/BLACK/BLACK/(WLFGRY),1/1/17,2296R,2297R,1212M,1107M,1016M,1184M,1084M,1079M,1212M,"FRONT CENTER & RIGHT PANEL MAX 1.5""X1.5""; SWOOSH ON TAB AT LEFT PANEL EDGE",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-676-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831430-676-LASBH001.PNG
NIKE GOLF BIG BILL HAT,831431-010,10,C17 NOT CRESTABLE,BLACK/BLACK/ANTHRACITE/(WHITE),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2297R,"SIDE PANEL MAX 2.5""H BY 2.5""W",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-010-LASBH001.PNG
NIKE GOLF BIG BILL HAT,831431-100,100,C17 NOT CRESTABLE,WHITE/WHITE/ANTHRACITE/(BLACK),1/1/17,2296R,1118M,1086M,2297R,1086M,1118M,1060M,1079M,2296R,"SIDE PANEL MAX 2.5""H BY 2.5""W",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-100-LASBH001.PNG
NIKE GOLF BIG BILL HAT,831431-617,617,C17 NOT CRESTABLE,RACPIN/RACPIN/ANTHRA/(WHITE),5/1/17,2297R,2296R,2432R,1907M,2246R,2432R,1084M,1079M,2297R,"SIDE PANEL MAX 2.5""H BY 2.5""W",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-617-LASBH001.PNG
NIKE GOLF BIG BILL HAT,831431-852,852,C17 NOT CRESTABLE,MAXORG/MAXORG/ANTHRA/(WHITE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2297R,"SIDE PANEL MAX 2.5""H BY 2.5""W",,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831431-852-LASBH001.PNG
GREENS TOP 2.0,831448-010,10,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",BLACK/(METALLIC SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-010-LASBH001.PNG
GREENS TOP 2.0,831448-100,100,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",WHITE/(METALLIC SILVER),1/1/17,2296R,1011M,1118M,2297R,1086M,1118M,1060M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-100-LASBH001.PNG
GREENS TOP 2.0,831448-387,387,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",PALM GREEN/(METALLIC SILVER),1/1/17,2297R,2296R,1011M,0552C,1099M,2601R,1128M,1048M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-387-LASBH001.PNG
GREENS TOP 2.0,831448-452,452,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",PARAMOUNT BLUE/(M SILV),3/1/17,2297R,2296R,1011M,2385R,1266M,1197S,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-452-LASBH001.PNG
GREENS TOP 2.0,831448-852,852,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",MAX ORANGE/(METALLIC SILVER),1/1/17,2297R,2296R,1011M,2420R,1077M,1039M,1128M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831448-852-LASBH001.PNG
